label,subject,body_text,sender,reply_to,urls,has_attachments
1,DocuSign: Sign your document immediately,"Please review and sign your document. You must sign within 24 hours or the contract will be void and legal action may be taken. Enter your email credentials to access the document.",dochelpdesk@docusign-secure.xyz,,http://docusign-sign-now.top/review,0
1,Your bank account has been locked,"URGENT: We have detected unauthorized access to your Bank of America account. Your account has been locked for your protection. Login immediately to verify your identity and restore access or you will lose your funds.",security@bankofamerica-alert.com,,http://boa-secure-login.cf/verify,0
1,HR Department: Your salary has been updated,Please find attached your updated salary breakdown and direct deposit form. Fill out the attached form with your bank account and routing number and return to HR.,hr-dept@yourcompany-payroll.xyz,,http://payroll-update.tk,1
1,Netflix: Payment failed - Update billing info,"Your Netflix subscription payment failed. To avoid interruption of your service please update your credit card information immediately. This must be done within 24 hours.",billing@netflix-payment-alert.info,,http://netflix-billing-update.xyz/pay,0
1,Your email storage is full - Upgrade now,"WARNING: Your email account is 99% full and will stop receiving messages. Enter your email password to upgrade your storage and prevent account deletion.",admin@emailsupport-upgrade.top,,http://email-upgrade-now.ml/login,0
1,Action Required: Verify your Chase account,"Chase Bank: We have detected suspicious activity on your account. Please verify your debit card number, PIN, and social security number to confirm your identity and avoid account closure.",alert@chase-bank-security.xyz,,http://chase-verify-account.pw/confirm,0
1,You have a pending wire transfer waiting,"You have an unclaimed wire transfer of $8,500 waiting for you from an international client. To claim the funds you must provide your bank account number and pay a $200 processing fee.",transfers@international-banking.ml,,http://claim-wire-transfer.xyz/claim,0
1,ACCOUNT SUSPENDED: Verify immediately!!!,"YOUR ACCOUNT HAS BEEN COMPROMISED!!! UNAUTHORIZED LOGIN DETECTED!!! CLICK THE LINK BELOW IMMEDIATELY OR YOUR ACCOUNT WILL BE PERMANENTLY DELETED IN 1 HOUR!!!",SECURITY@ACCOUNT-ALERT.TOP,,http://emergency-verify.xyz/now,0
1,Google: Critical security alert for your account,"Someone signed into your Google account from a new device in Russia. If this was not you confirm your password and recovery phone number immediately to secure your account.",no-reply@google-security-alert.com,,http://google-account-secure.tk/verify,0
1,Wells Fargo: Unusual signin attempt detected,"We noticed a suspicious signin attempt on your Wells Fargo account. Please verify your account details including your account number and PIN to confirm your identity.",alert@wellsfargo-security.xyz,,http://wellsfargo-login-verify.top,0
0,Your Amazon order has shipped,"Hi Luella, Great news! Your order #112-3456789 has shipped and is on its way. Your estimated delivery date is Thursday May 22. You can track your package using the link below.",shipment-tracking@amazon.com,,https://www.amazon.com/progress-tracker/package/ref=pe_2640190,0
0,Meeting reminder: Team standup tomorrow at 9am,"Hi team, Just a reminder that we have our weekly standup tomorrow at 9:00 AM. Please come prepared to share your updates for the week. The meeting link is in your calendar invite.",john.smith@company.com,,,0
0,Your monthly bank statement is ready,"Your Chase bank statement for April 2025 is now available. Log in to chase.com to view your statement. If you have any questions contact us at 1-800-935-9935.",alerts@chase.com,,https://www.chase.com/digital/resources/statements,0
0,LinkedIn: John Doe wants to connect with you,"Hi Luella, John Doe who works at Acme Corp wants to connect with you on LinkedIn. John and you both know Sarah Johnson. Accept or ignore this invitation.",invitations@linkedin.com,,https://www.linkedin.com/comm/mynetwork/invitation-manager,0
0,Your Dropbox document was updated,"Hi Luella, Sarah Johnson edited Q3_Report_Final.docx in your shared Dropbox folder. You can view the latest version by opening Dropbox.",no-reply@dropbox.com,,https://www.dropbox.com/home,0
0,GitHub: Your pull request was merged,"Your pull request #42 'Fix authentication bug' was merged into main by @teamlead. View the diff and leave any final comments at the link below.",noreply@github.com,,https://github.com/yourorg/yourrepo/pull/42,0
0,Receipt for your Netflix subscription,"Hi Luella, Thank you for your payment of $15.49 for your Standard Netflix plan. This is your receipt for billing period May 1 2025 to June 1 2025.",info@account.netflix.com,,https://www.netflix.com/youraccount,0
0,Zoom: Your recording is ready to view,"Hi Luella, Your Zoom cloud recording from the Team Meeting on May 15 is now available. You can view or download the recording for the next 30 days.",no-reply@zoom.us,,https://zoom.us/recording/management,0
0,Your flight itinerary - Confirmation AA1234,"Your American Airlines booking is confirmed. Flight AA1234 Dallas to San Antonio on June 3 2025. Please check in online 24 hours before your departure.",reservations@aa.com,,https://www.aa.com/reservation/view,0
0,Slack: You have 3 unread messages,"Hi Luella, You have unread messages waiting in your Slack workspace. Sarah sent you a direct message and there are 2 mentions in the general channel.",feedback@slack.com,,https://app.slack.com,0
0,IT Help Desk: Your ticket #4521 has been resolved,"Hi Luella, Your IT support ticket #4521 regarding VPN access has been resolved. If you still experience issues please reply to this email or open a new ticket at the help desk portal.",helpdesk@company.com,,https://helpdesk.company.com/tickets/4521,0
0,Google Workspace: Storage usage summary,"Hi Luella, Your Google Workspace storage usage for May 2025 is 4.2 GB of 30 GB used. No action is required. You can manage your storage at any time from your account settings.",workspace-noreply@google.com,,https://workspace.google.com/dashboard,0
0,Your DocuSign document has been completed,"All parties have signed the NDA for the Vendor Agreement. The completed document has been saved and a copy has been emailed to all signers. View the completed document anytime on DocuSign.",dse_NA3@docusign.net,,https://www.docusign.com/documents,0
0,Payroll: Direct deposit notification,"Hi Luella, Your direct deposit of $2847.50 has been processed and will be available in your account by Friday May 23. View your pay stub and deductions in the employee portal.",payroll@company.com,,https://hr.company.com/payroll,0
0,Microsoft 365: Your password change was successful,"Hi Luella, Your Microsoft 365 account password was changed successfully on May 15 2025. If you did not make this change contact your IT administrator immediately.",account-security-noreply@accountprotection.microsoft.com,,https://account.microsoft.com/security,0
0,Apple: Your order is on its way,"Hi Luella, Your Apple AirPods order is on the way and will arrive by Tuesday May 20. Your tracking number is 1Z999AA10123456784. Track your delivery using the link below.",store@apple.com,,https://www.apple.com/shop/order/list,0
0,FedEx: Package delivered,"Hi Luella, Your package was delivered to your front door at 2:47 PM on May 20 2025. If you have any questions about your delivery please contact FedEx Customer Service.",TrackingUpdates@fedex.com,,https://www.fedex.com/apps/fedextrack,0
0,Webinar: Register for our free security training,"Hi Luella, You are invited to join our free cybersecurity awareness webinar on June 5 at 2 PM CT. Topics include phishing awareness social engineering and password security. Register using the link below.",training@securityawareness.org,,https://www.securityawareness.org/webinar/register,0
0,Your insurance renewal is coming up,"Hi Luella, Your renters insurance policy renews on June 30 2025. Your annual premium is $186.00 with no changes to your coverage. No action is required unless you wish to make changes.",renewals@insuranceco.com,,https://www.insuranceco.com/account,0
0,IT Security: Mandatory security awareness training due,"Hi Luella, Your annual security awareness training is due by May 31 2025. This training is mandatory for all staff. Please complete it using your company SSO login at the link below.",security-training@company.com,,https://training.company.com/security,0
